trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
166,False,"{'a': 0.2, 'e': 0.18855684516737714}",30,11,27.189421440313154,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.2, 'e': 0.18667127671570335}",30,16,21.96948265835542,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.2, 'e': 0.18480456394854633}",30,13,34.527540988837714,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.2, 'e': 0.18295651830906087}",20,4,30.922555618918327,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.2, 'e': 0.18112695312597027}",25,7,20.473817650548643,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.2, 'e': 0.17931568359471056}",20,2,-8.306044753386088,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.2, 'e': 0.17752252675876345}",20,13,13.227470038201854,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.2, 'e': 0.17574730149117582}",30,7,27.41851468745167,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.2, 'e': 0.17398982847626407}",20,10,-34.15232398513259,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
175,False,"{'a': 0.2, 'e': 0.17224993019150142}",35,8,4.810475924901644,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 0}",1
176,False,"{'a': 0.2, 'e': 0.1705274308895864}",20,8,-20.809594664115206,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
177,False,"{'a': 0.2, 'e': 0.16882215658069055}",25,11,26.935463143298854,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.2, 'e': 0.16713393501488363}",25,4,24.56718580464761,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.2, 'e': 0.16546259566473479}",20,15,-0.9861851163499038,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.2, 'e': 0.16380796970808745}",25,3,31.249871072894525,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.2, 'e': 0.16216989001100657}",20,12,13.25020332660366,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.2, 'e': 0.1605481911108965}",20,12,14.173927389502023,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.2, 'e': 0.15894270919978754}",25,0,-30.996272876332345,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
